№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
1548,1971-ТР  29.07.08г.-                 29.07.10г. Бл.№00873,Участок Верхняя Ысыката,," Чуйская обл.,           Ысыкатинский р-н",№1 до       31.12.08г.,песчано-гравийная смесь,Р,,,Протокол переговоров       №1129-Н-08 от 29.07.08г.    ,"г. Бишкек, ул. Матросова, 1а. Директор Дубанаев Т.К.                              т. 0555 506641",Дубанаев Т.К.,,,,Перв.РОК       1299002790025971      кв.3008 от 29.07.08г.              ,,,,,Аннулирована. Протокол № 167-АН-11 от 04.03.11г.,,,,,,,,,,,
1549,1972-ТР     30.07.08г.-      30.07.10г.         Бл.№00874,"Участок Нижняя Алаарча. Чуйская обл.,           Аламудунский р-н","ОсОО ""ЖИЛСТРОЙ ТРЕСТ ЛТД""",,№1 до            31.12.08г.,суглинок,Р,,,Протокол переговоров       №1130Н-08 от 30.07.08г.    ,"г. Бишкек, ул. Орловская, 2. Директор Сыргабаев А.С.            т. 69-48-91",Сыргабаев А.С.,,,,Перв.РОК       1299002790025971            кв.44052 от 30.07.08г.           ,,,,,Аннулирована. Протокол № 106-АН-09             22.05.09г.,,,,,,,,,,,
1550,1973-СР   30.07.08г.-       30.07.10г.     Бл.№00861,"Месторождение Коккия, Жалалабатская обл., Тогузтороузский р-н","ОсОО ""Trend Resources""",,№1 до        31.05.09г.,уголь,Р,,,Протокол переговоров       №1131-Н-08 от 30.07.08г.   ,"г. Бишкек, ул. Гражданская, 43. Директор Сю Дэчунь",Сю Дечунь,,,,Перв.РОК       1299002790025971         кв.3025 от 29.07.08г.          ,,,,,Аннулирована. Протокол № 147-АН-10             12.03.10г.,,,,,,,,,,,
1551,1974 ТЕ от 30.07.2008 г.           до 30.07.28 г.  Бланк №00961,Месторождение Мончинское,"АООТ ""НУР-КМ"""," Баткенская обл, Кадамжайский р-н",№ 6 от 24.03.2016 г. до 30.07.2028 г.,суглинок,ЕР,"7,3 га",К-43-133,Протокол   № 152-Н-15 от. 27.02.2015 г.,"г. Кызыл-Кия, ул. Кулатова 48","АООТ ""НУР-КМ""",,,, 1299003400001680 кв 3003 от 31.07.2008 г.,ИНН 01405199310010,4452290  4452292   4452023  4451982   4452012,13259039   13259188   13259369  13259220  13259057,Кыргызстан,ТЕ,Бакиров Т.Б.,3657 51107; ,Учкоргон а/а,,Бенефициары ,,,,,,
1552,1975 ТЕ пер. 30.07.2008 г.            от 14.05.2022 г до 14.05.2027 г.           Бланк  №000164,"Участок ""Запин"" в русле реки Нарын",ЧП Жолдошев Алмаз Жамгырбаевич,"Нарынская обл, Нарынский    р-н",№ 6                  от 29.06.2022г   до 14.05.2027г ,ПГС,ЕР,"1,0 га",К-43-92,Протокол №15-Н-2022 от 10.06.2022г,"г. Нарын, ул. Чапачова 46",Жолдошев Алмаз Жамгырбаевич,,,,1299005950005378   №84200090 15.07.2022г,ИНН 21603197710032,4589600  4589600  4589550  4589550,13583300  13483420  13583420  13583300,Кыргызстан,ТЕ,Жолдошев Алмаз Жамгырбаевич,708 887 723,г.Нарын,,,,,,,,
1553,1976-ТЕ             30.07.08г.-           30.07.13г.   Бл.№00960,Участок Джал месторождения Кызылкийское,"ОсОО ""ЭСК ЛТД"""," Баткенская обл., Кадамжайский р-н   ",3 - 30.07.13г.,глиеж,Е,"5,00",,Протокол переговоров       №1134-Н-08 от 30.07.08г.    ,"Ошская обл., Ноокатский р-н, с. Эски-Ноокат. Директор                    Зикиров А.А. т. 0555 784401","АО ""Нур Км""",,,,Перв.РОК       1299002790025971       кв.3005 от 31.07.08г.           ,,,,Кыргызстан,Аннулирована. Протокол № 604-Н-16 от 07.12.16г.,,,,,,,,,,,
1554,1977-ТЕ          30.07.08г.-       30.07.18г.     Бл.№00878,"Подсчетный блок Ш-С1,У-С1 месторождения Башкарасу, Чуйская обл.,         Аламудунский р-н                     ","ОсОО ""Компания Аксай""",,№1 до                     31.03.08г.,песчано-гравийная смесь,Е,,,Протокол переговоров       №1135-Н-08 от 30.07.08г.   ,"Чуйская обл., Аламудунский р-н, с. Кашка-Су, ул. Тлотина, 1. Директор Жумашев А.Ж.                т. 0772 202284",Жумашев А.Ж.,,,,Перв.РОК       1299002790025971            ,,,,,Аннулирована. Протокол № 95-АН-09        06.04.09г.,,,,,,,,,,,
1555,1978-ТЕ               30.07.08г.-    30.07.28г.  Бл.№00879,"Севеный фланг месторождения Ысык-Ата между профилями 1-1. Чуйская обл.,                       Ысыкатинский р-н","ОсОО ""Компания Аксай""",,№1 до          31.03.08г.,песчано-гравийная смесь,Е,,,Протокол переговоров       №1135-Н-08 от 30.07.08г.   ,"Чуйская обл., Аламудунский р-н, с. Кашка-Су, ул. Тлотина, 1. Директор Жумашев А.Ж.                т. 0772 202284",Жумашев А.Ж.,,,,Перв.РОК       1299002790025971            ,,,,,Аннулирована. Протокол № 95-АН-09        06.04.09г.,,,,,,,,,,,
1556,1979-СЕ    31.07.08г.-     31.07.10г.          Бл.№00865,"Участок Карьерный-2 месторождения Сарыбээ, Жалалабатская обл., Ноокенский р-н","ОсОО ""Union Resources LTD""",,№1 до              31.07.08г.,уголь,Е,,,Протокол переговоров       №1137-Н-08 от 31.07.08г.   ,"г. Бишкек, ул. Профсоюзная, 17. Директор Ысмаилов К.Н.                         т. 680765",Ысмаилов К.Н.,,,,Перв.РОК       1299002790025971         кв.3023 от 04.08.08г.           ,,,,,Аннулирована. Протокол № 117-АН-09 03.08.09гг.,,,,,,,,,,,
1557,1980-СР    31.07.08г.-   31.07.10г.     Бл.№00864,"Месторождение Сарыбээ, Жалалабатская обл.. Ноокенский р-н","ОсОО ""Union Resources LTD""",,№1 до             31.05.08г.,уголь,Р,,,Протокол переговоров       №1137-Н-08 от 31.07.08г.    ,"г. Бишкек, ул. Профсоюзная, 17. Директор Ысмаилов К.Н.    т. 680765",Ысмаилов К.Н.,,,,Перв.РОК       1299002790025971        кв.3025 от 04.08.08г.            ,,,,,Аннулирована. Протокол № 117-АН-09 03.08.09гг.,,,,,,,,,,,
1558,1981-АР       01.08.08г.- 01.08.10г.              Бл.№00863    ,"Бучукская площадь, Нарынская обл.,         Нарынский р-н","ОсОО  ""GREXTON INVESTMENT GROUP""",,№1 до    31.05.09г.,золото и другие металлы,Р,,,Протокол переговоров       №    ,"г. Бишкек, ул. Бейшеналиевой, 33, кв.8. Ген. директор                      Костырин С.А. т. 559471","Компания ""GREXTON RAPITAL  LTD""",,,,Перв.РОК       1299002790025971               кв.3032 от 05.08.08г.           ,,,,,Аннулирована. Протокол № 119-АН-09   03.09.09г.,,,,,,,,,,,
1559,1982-МР          11.08.08г.-      11.08.10г.   Бл.№00886,"Зарделекская площадь, Баткенская обл.,         Баткенский р-н","ОсОО ""Perspektive international Resources Co.. LTD",,№1 до                   31.05.09г.,алюминий,Р,,,Протокол переговоров       №1140-Н-08 от 11.08.08г.    ,"г. Бишкек, ул. Гражданская, д.43. Директор Ли Джи   т. 680765",,,,,Перв.РОК       1299002790025971        кв.3005 от 08.08.08г.           ,,,,,Аннулирована. Протокол № 67-АН-08           20.11.08г.,,,,,,,,,,,
1560,1983-МР          11.08.08г.-      11.08.10г.   Бл.№00887,"Джурысайская плошадь, Баткенская обл.,     Баткенский р-н","ОсОО ""Perspektive international Resources Co.. LTD",,№1 до                     31.05.09г.,алюминий,Р,,,Протокол переговоров       №1140-Н-08 от 11.08.08г.    ,"г. Бишкек, ул. Гражданская, д.43. Директор Ли Джи   т. 680765",Ли Джи,,,,Перв.РОК       1299002790025971                 кв.3005 от 08.08.08г.            ,,,,,Аннулирована. Протокол № 111-АН-09               05.06.09г.,,,,,,,,,,,
1561,1985-СР   12.07.08г.-         12.08.10г.                 Бл.№00888,"Месторождение Шураб-3, Баткенская обл.,          Баткенский р-н","ОсОО ""Геоинком""",,№1 до                31.05.09г.,уголь,Р,,,Протокол переговоров       №1142-Н-08 от 12.08.08г.    ,"Чуйская обл., Аламудунский р-н, с. Лебединовка, ул. Ленина, 222. Директор   Касымбеков О.И.",Касымбеков О.И.,,,,Перв.РОК       1299002790025971        кв.3035 от 07.08.08г.            ,,,,,Аннулирована. Протокол № 142-АН-10           14.01.10г.,,,,,,,,,,,
1562,1986-ТЕ            13.08.08г.-          13.08.28г.     Бл.№00889,"Месторождение Кызыл Бирлик. Чуйская обл., Аламудунский р-н","ОсОО ""Керамика Шин Ху Курулуш""",,№1 до     31.05.09г.,суглинок,Е,,,Протокол переговоров       №1143-Н-08 от 13.08.08г.    ,"Аламудунский р-н, с. Кой-Таш, ул. Новая, 5, кв.9. Директор                     Бекматов А.Г. т. 0555 196997",Граждане КР-28%                          Граждане КНР-72%,,,,Перв.РОК       1299002790025971      кв.3010 от 13.08.08г.            ,,,,,Аннулирована. Протокол № 110-АН-09  05.06.09г.,,,,,,,,,,,
1563,1987-ТР             13.08.08г.-                    13.08.10г.   Бл.№00890,"Аэропортская площадь,       Чуйская обл.,               Сокулукский р-н","ОсОО ""Бий-Трэйд""",,№1 до               31.05.08г.,песок,Р,,,Протокол переговоров       №1144-Н-08 от 13.08.10г.    ,"г. Бишкек, ул. Камская, 7-28. Директор   Касымбеков Ж.О.                 т. 62-75-12р., 504509д.",1.Джунушева К.-50%                       2.Исабекова Э.С.-50%,,,,Перв.РОК       1299002790025971              кв.3036 от 11.08.08г.           ,,,,,Аннулирована. Протокол № 110-АН-09  05.06.09г.,,,,,,,,,,,
